3653;49
47;50
45;51
3616;52
3606;53
3640;54
3638;55
3588;56
3605;57
3592;48
3586;45
3594;61
3654;113
3652;119
3635;101
3614;114
3632;116
3633;121
3637;117
3619;105
3609;111
3618;112
3610;91
3621;93
3587;92
3615;97
3627;115
3585;100
3604;102
3648;103
3657;104
3656;106
3634;107
3626;108
3623;59
3591;39
3612;122
3611;120
3649;99
3629;118
3636;98
3639;110
3607;109
3617;44
3651;46
3613;47
43;33
3665;64
3666;35
3667;36
3668;37
3641;94
3647;38
3669;42
3670;40
3671;41
3672;95
3673;43
3664;81
34;87
3598;69
3601;82
3608;84
3661;89
3658;85
3603;73
3631;79
3597;80
3600;123
44;125
3589;124
3620;65
3590;83
3599;68
3650;70
3596;71
3655;72
3659;74
3625;75
3624;76
3595;58
46;34
40;90
41;88
3593;67
3630;86
3642;66
3660;78
63;77
3602;60
3628;62
3622;63
