UNICODE;NAME;DESCRIPTION;THAI;KEYCODES
\u1A87;TAI THAM HORA DIGIT SEVEN;;7;41
\u1A88;TAI THAM HORA DIGIT EIGHT;;8;95
\u1A89;TAI THAM HORA DIGIT NINE;;9;43
\u1A90;TAI THAM THAM DIGIT ZERO;;0;e(48)
\u1A91;TAI THAM THAM DIGIT ONE;;1;e(49)
\u1A92;TAI THAM THAM DIGIT TWO;;2;e(50)
\u1A93;TAI THAM THAM DIGIT THREE;;3;e(51)
\u1A94;TAI THAM THAM DIGIT FOUR;;4;e(52)
\u1A95;TAI THAM THAM DIGIT FIVE;;5;e(53)
\u1A96;TAI THAM THAM DIGIT SIX;;6;e(54)
\u1A97;TAI THAM THAM DIGIT SEVEN;;7;e(55)
\u1A98;TAI THAM THAM DIGIT EIGHT;;8;e(56)
\u1A99;TAI THAM THAM DIGIT NINE;;9;e(57)
\u1AA0;TAI THAM SIGN WIANG;logograph for city;;
\u1AA1;TAI THAM SIGN WIANGWAAK;logograph for village;;
\u1AA2;TAI THAM SIGN SAWAN;logograph for heaven;;
\u1AA3;TAI THAM SIGN KEOW;courtyard;;
\u1AA4;TAI THAM SIGN HOY;oyster;;
\u1AA5;TAI THAM SIGN DOKMAI;flower → 2055 flower punctuation mark;;
\u1AA6;TAI THAM SIGN REVERSED ROTATED RANA;;;
\u1AA7;TAI THAM SIGN MAI YAMOK;→ 0E46 thai character maiyamok;ๆ;113
\u1AA8;TAI THAM SIGN KAAN;danda;;
\u1AA9;TAI THAM SIGN KAANKUU;double danda;;
\u1AAA;TAI THAM SIGN SATKAAN;;ฯ;79
\u1AAB;TAI THAM SIGN SATKAANKUU;0E5A thai character angkhankhu;๚;a(79)
\u1AAC;TAI THAM SIGN HANG;used in combinations with other punctuation marks at ends of sections;;
\u1AAD;TAI THAM SIGN CAANG;;;
